Alt + Shift + Insert            toggle block mode / column mode   ( search 'Column Selection Mode'...keep 'OFF' )

Shift + F10                     Run

Ctlr + Shift + /                Block Comment / uncomment

Alt + Shift + select(cursor)    Multi Cursor

Ctlr + Shift + up/down arrow    move line up/down

Alt + Insert                    Code Generation

Ctlr + Shift + F                Find / search

Shift + Shift                   Global search

Ctlr + Shift + R                Find & Replace

Ctlr + E                        Recent Files

Ctlr + Alt + o                  remove unused imports





